run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1648885816.349457|2022-04-02 09:50:16.349457+02|16385|test|1|334713342|0|2261795|2009040542|340465199|335336459|5000709|13|0|0|1|101588992|0|||0|0|43295817.04|3918912.78|4.872|5035|0|0|0|2022-04-02 09:02:03.051695+02
1|1648885817.373813|2022-04-02 09:50:17.373813+02|16385|test|17|334727699|0|2264650|2009400876|340510100|335367121|5014961|14265|0|0|1|101588992|0|||0|0|43311879.478|3930249.136|3138.202|5055|0|0|0|2022-04-02 09:02:03.051695+02
2|1648885818.394424|2022-04-02 09:50:18.394424+02|16385|test|17|334747992|0|2268517|2009902487|340570774|335407950|5035250|34554|0|0|1|101588992|0|||0|0|43327909.374|3940184.353|7394.487|5057|0|0|0|2022-04-02 09:02:03.051695+02
3|1648885819.415155|2022-04-02 09:50:19.415155+02|16385|test|17|334768472|0|2272352|2010404809|340631563|335449153|5055726|55030|0|0|1|101588992|0|||0|0|43343937.858|3950181.751|11611.599|5059|0|0|0|2022-04-02 09:02:03.051695+02
4|1648885820.439594|2022-04-02 09:50:20.439594+02|16385|test|17|334789034|0|2276249|2010904239|340692165|335490520|5076284|75588|0|0|1|101588992|0|||0|0|43359970.525|3960193.236|15794.074|5061|0|0|0|2022-04-02 09:02:03.051695+02
5|1648885821.464529|2022-04-02 09:50:21.464529+02|16385|test|17|334809733|0|2279922|2011402913|340752856|335532161|5096979|96283|0|0|1|101588992|0|||0|0|43376004.353|3970260.222|19949.212|5063|0|0|0|2022-04-02 09:02:03.051695+02
6|1648885822.484873|2022-04-02 09:50:22.484873+02|16385|test|17|334830662|0|2283652|2011901831|340813731|335574262|5117904|117208|0|0|1|101588992|0|||0|0|43392035.573|3980264.219|24117.124|5065|0|0|0|2022-04-02 09:02:03.051695+02
7|1648885823.505458|2022-04-02 09:50:23.505458+02|16385|test|17|334851516|0|2287366|2012395190|340874076|335616213|5138754|138058|0|0|1|101588992|0|||0|0|43408065.619|3990289.498|28295.611|5067|0|0|0|2022-04-02 09:02:03.051695+02
8|1648885824.530763|2022-04-02 09:50:24.530763+02|16385|test|17|334872479|0|2290903|2012886409|340934258|335658382|5159713|159017|0|0|1|101588992|0|||0|0|43424098.607|4000293.24|32465.016|5069|0|0|0|2022-04-02 09:02:03.051695+02
9|1648885825.550750|2022-04-02 09:50:25.55075+02|16385|test|17|334893445|0|2294504|2013374607|340994208|335700557|5180675|179979|0|0|1|101588992|0|||0|0|43440128.165|4010357.555|36572.699|5071|0|0|0|2022-04-02 09:02:03.051695+02
10|1648885826.571569|2022-04-02 09:50:26.571569+02|16385|test|17|334914305|0|2297943|2013855246|341053482|335742520|5201531|200835|0|0|1|101588992|0|||0|0|43456155.678|4020482.212|40649.125|5073|0|0|0|2022-04-02 09:02:03.051695+02
11|1648885827.591811|2022-04-02 09:50:27.591811+02|16385|test|17|334935431|0|2301408|2014337918|341113025|335785015|5222653|221957|0|0|1|101588992|0|||0|0|43472184.521|4030477.528|44835.222|5075|0|0|0|2022-04-02 09:02:03.051695+02
12|1648885828.612956|2022-04-02 09:50:28.612956+02|16385|test|17|334956585|0|2304768|2014817613|341172350|335827566|5243803|243107|0|0|1|101588992|0|||0|0|43488211.155|4040528.557|48982.473|5077|0|0|0|2022-04-02 09:02:03.051695+02
13|1648885829.638475|2022-04-02 09:50:29.638475+02|16385|test|17|334977536|0|2308167|2015291475|341230910|335869711|5264750|264054|0|0|1|101588992|0|||0|0|43504243.623|4050605.607|53096.126|5079|0|0|0|2022-04-02 09:02:03.051695+02
14|1648885830.658692|2022-04-02 09:50:30.658692+02|16385|test|17|334998595|0|2311418|2015760563|341289310|335912072|5285805|285109|0|0|1|101588992|0|||0|0|43520273.626|4060616.716|57255.213|5081|0|0|0|2022-04-02 09:02:03.051695+02
15|1648885831.678588|2022-04-02 09:50:31.678588+02|16385|test|17|335019703|0|2314613|2016228738|341347472|335954531|5306909|306213|0|0|1|101588992|0|||0|0|43536301.864|4070702.897|61372.136|5083|0|0|0|2022-04-02 09:02:03.051695+02
16|1648885832.701721|2022-04-02 09:50:32.701721+02|16385|test|17|335040518|0|2317768|2016687366|341404624|335996404|5327720|327024|0|0|1|101588992|0|||0|0|43552329.857|4080815.445|65464.192|5085|0|0|0|2022-04-02 09:02:03.051695+02
17|1648885833.721886|2022-04-02 09:50:33.721886+02|16385|test|17|335061537|0|2320859|2017147944|341462129|336038685|5348735|348039|0|0|1|101588992|0|||0|0|43568358.015|4090897.41|69579.554|5087|0|0|0|2022-04-02 09:02:03.051695+02
18|1648885834.742953|2022-04-02 09:50:34.742953+02|16385|test|18|335082591|0|2323931|2017605983|341519347|336081024|5369786|369090|0|0|1|101588992|0|||0|0|43584384.593|4101004.123|73652.575|5088|0|0|0|2022-04-02 09:02:03.051695+02
19|1648885835.754594|2022-04-02 09:50:35.754594+02|16385|test|18|335101855|0|2326712|2018022223|341571812|336120095|5389045|388349|0|0|1|101588992|0|||0|0|43600405.753|4110875.785|77848.069|5091|0|0|0|2022-04-02 09:02:03.051695+02
20|1648885836.775440|2022-04-02 09:50:36.77544+02|16385|test|18|335121510|0|2329625|2018443612|341624690|336159648|5408696|408000|0|0|1|101588992|0|||0|0|43616435.413|4120680.292|82088.443|5093|0|0|0|2022-04-02 09:02:03.051695+02
21|1648885837.797776|2022-04-02 09:50:37.797776+02|16385|test|18|335141435|0|2332299|2018867604|341678127|336199741|5428617|427921|0|0|1|101588992|0|||0|0|43632466.754|4130487.12|86353.141|5095|0|0|0|2022-04-02 09:02:03.051695+02
22|1648885838.819176|2022-04-02 09:50:38.819176+02|16385|test|18|335161157|0|2335113|2019287347|341730892|336239428|5448335|447639|0|0|1|101588992|0|||0|0|43648493.567|4140317.611|90556.017|5097|0|0|0|2022-04-02 09:02:03.051695+02
23|1648885839.840490|2022-04-02 09:50:39.84049+02|16385|test|18|335180943|0|2338045|2019703986|341783520|336279243|5468117|467421|0|0|1|101588992|0|||0|0|43664522.702|4150183.799|94786.024|5099|0|0|0|2022-04-02 09:02:03.051695+02
24|1648885840.863570|2022-04-02 09:50:40.86357+02|16385|test|18|335200655|0|2340356|2020115485|341835631|336318910|5487825|487129|0|0|1|101588992|0|||0|0|43680550.894|4159950.484|99035.949|5101|0|0|0|2022-04-02 09:02:03.051695+02
25|1648885841.889208|2022-04-02 09:50:41.889208+02|16385|test|18|335229949|0|2344251|2020725047|341912421|336377741|5517115|516419|0|0|1|101588992|0|||0|0|43704593.725|4174922.394|105123.063|5103|0|0|0|2022-04-02 09:02:03.051695+02
26|1648885842.917625|2022-04-02 09:50:42.917625+02|16385|test|18|335249155|0|2346756|2021119710|341961867|336416396|5536317|535621|0|0|1|101588992|0|||0|0|43720631.113|4185002.367|109077.666|5105|0|0|0|2022-04-02 09:02:03.051695+02
27|1648885843.941810|2022-04-02 09:50:43.94181+02|16385|test|18|335269032|0|2349328|2021525586|342012554|336456393|5556190|555494|0|0|1|101588992|0|||0|0|43736661.167|4195119.39|113102.181|5107|0|0|0|2022-04-02 09:02:03.051695+02
28|1648885844.969944|2022-04-02 09:50:44.969944+02|16385|test|18|335288932|0|2351782|2021932382|342063171|336496436|5576086|575390|0|0|1|101588992|0|||0|0|43752697.019|4205091.35|117202.998|5109|0|0|0|2022-04-02 09:02:03.051695+02
29|1648885845.990814|2022-04-02 09:50:45.990814+02|16385|test|17|335309505|0|2353497|2024374572|342116874|336538214|5596671|595952|0|0|1|101588992|0|||0|0|43768729.953|4215082.019|121348.413|5111|0|0|0|2022-04-02 09:02:03.051695+02
30|1648885847.011639|2022-04-02 09:50:47.011639+02|16385|test|17|335330926|0|2354582|2024844353|342171031|336581299|5618088|617369|0|0|1|101588992|0|||0|0|43784759.289|4225185.62|125440.342|5113|0|0|0|2022-04-02 09:02:03.051695+02
31|1648885848.032289|2022-04-02 09:50:48.032289+02|16385|test|17|335350666|0|2355619|2025277726|342221048|336621022|5637824|637105|0|0|1|101588992|0|||0|0|43800787.584|4235633.686|129330.563|5115|0|0|0|2022-04-02 09:02:03.051695+02
32|1648885849.053605|2022-04-02 09:50:49.053605+02|16385|test|17|335372507|0|2356768|2025759918|342276582|336664947|5659661|658942|0|0|1|101588992|0|||0|0|43816817.37|4245482.452|133707.279|5117|0|0|0|2022-04-02 09:02:03.051695+02
33|1648885850.077860|2022-04-02 09:50:50.07786+02|16385|test|17|335394113|0|2357908|2026236167|342331461|336708402|5681263|680544|0|0|1|101588992|0|||0|0|43832844.389|4255472.631|137940.252|5119|0|0|0|2022-04-02 09:02:03.051695+02
34|1648885851.100944|2022-04-02 09:50:51.100944+02|16385|test|17|335415341|0|2359028|2026703772|342385329|336751101|5702487|701768|0|0|1|101588992|0|||0|0|43848875.351|4265472.443|142093.172|5121|0|0|0|2022-04-02 09:02:03.051695+02
35|1648885852.123132|2022-04-02 09:50:52.123132+02|16385|test|17|335436566|0|2360220|2027171666|342439326|336793794|5723708|722989|0|0|1|101588992|0|||0|0|43864907.223|4275540.431|146215.64|5123|0|0|0|2022-04-02 09:02:03.051695+02
36|1648885853.146087|2022-04-02 09:50:53.146087+02|16385|test|17|335457823|0|2361272|2027639522|342493372|336836551|5744961|744242|0|0|1|101588992|0|||0|0|43880936.408|4285718.903|150265.571|5125|0|0|0|2022-04-02 09:02:03.051695+02
37|1648885854.166466|2022-04-02 09:50:54.166466+02|16385|test|17|335478987|0|2362388|2028105369|342547176|336879122|5766121|765402|0|0|1|101588992|0|||0|0|43896962.888|4295869.576|154331.967|5127|0|0|0|2022-04-02 09:02:03.051695+02
38|1648885855.186748|2022-04-02 09:50:55.186748+02|16385|test|17|335500321|0|2363518|2028574841|342601451|336922033|5787451|786732|0|0|1|101588992|0|||0|0|43912991.577|4305883.298|158484.826|5129|0|0|0|2022-04-02 09:02:03.051695+02
39|1648885856.209952|2022-04-02 09:50:56.209952+02|16385|test|17|335521569|0|2364659|2029043256|342655579|336964772|5808695|807976|0|0|1|101588992|0|||0|0|43929021.039|4315931.631|162625.04|5131|0|0|0|2022-04-02 09:02:03.051695+02
40|1648885857.229990|2022-04-02 09:50:57.22999+02|16385|test|17|335542654|0|2365754|2029509508|342709372|337007185|5829776|829057|0|0|1|101588992|0|||0|0|43945048.244|4326075.727|166671.798|5133|0|0|0|2022-04-02 09:02:03.051695+02
41|1648885858.258318|2022-04-02 09:50:58.258318+02|16385|test|17|335563705|0|2366877|2029972468|342762974|337049530|5850823|850104|0|0|1|101588992|0|||0|0|43961082.555|4336201.873|170730.141|5135|0|0|0|2022-04-02 09:02:03.051695+02
42|1648885859.282062|2022-04-02 09:50:59.282062+02|16385|test|17|335584998|0|2368008|2030443987|342817367|337092359|5872112|871393|0|0|1|101588992|0|||0|0|43977112.566|4346326.629|174809.912|5137|0|0|0|2022-04-02 09:02:03.051695+02
43|1648885860.304786|2022-04-02 09:51:00.304786+02|16385|test|17|335606148|0|2369112|2030912506|342871400|337134902|5893258|892539|0|0|1|101588992|0|||0|0|43993143.808|4356367.782|178934.215|5139|0|0|0|2022-04-02 09:02:03.051695+02
44|1648885861.328864|2022-04-02 09:51:01.328864+02|16385|test|17|335627288|0|2370240|2031382772|342925505|337177425|5914394|913675|0|0|1|101588992|0|||0|0|44009174.495|4366520.046|183008.394|5141|0|0|0|2022-04-02 09:02:03.051695+02
45|1648885862.357295|2022-04-02 09:51:02.357295+02|16385|test|17|335648355|0|2371348|2031851683|342979537|337219802|5935457|934738|0|0|1|101588992|0|||0|0|44025211.704|4376721.248|187008.613|5143|0|0|0|2022-04-02 09:02:03.051695+02
46|1648885863.377895|2022-04-02 09:51:03.377895+02|16385|test|17|335669606|0|2372471|2032322727|343033840|337262547|5956704|955985|0|0|1|101588992|0|||0|0|44041237.994|4386750.963|191147.407|5145|0|0|0|2022-04-02 09:02:03.051695+02
47|1648885864.403527|2022-04-02 09:51:04.403527+02|16385|test|17|335700246|0|2375722|2032954440|343112168|337324070|5987340|986621|0|0|1|101588992|0|||0|0|44064274.106|4401092.186|197198.808|5147|0|0|0|2022-04-02 09:02:03.051695+02
48|1648885865.429878|2022-04-02 09:51:05.429878+02|16385|test|17|335722880|0|2378476|2033405169|343169892|337369581|6009970|1009251|0|0|1|101588992|0|||0|0|44081310.277|4411669.311|201641.302|5149|0|0|0|2022-04-02 09:02:03.051695+02
49|1648885866.450299|2022-04-02 09:51:06.450299+02|16385|test|17|335744129|0|2381042|2033825117|343223878|337412322|6031215|1030496|0|0|1|101588992|0|||0|0|44097342.05|4421761.63|205733.254|5151|0|0|0|2022-04-02 09:02:03.051695+02
50|1648885867.470168|2022-04-02 09:51:07.470168+02|16385|test|17|335765395|0|2383596|2034244530|343277812|337455097|6052477|1051758|0|0|1|101588992|0|||0|0|44113370.356|4431838.381|209846.401|5153|0|0|0|2022-04-02 09:02:03.051695+02
