run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1649769489.422750|2022-04-12 15:18:09.42275+02|7/3ADF2F78|17|7|4713848|358|763339|704139|5756|1947305|0|294759156|2022-04-12 12:08:25.013612+02
1|1649769490.447007|2022-04-12 15:18:10.447007+02|7/3B1C6280|17|7|4713848|358|763339|704139|5756|1947305|0|294769129|2022-04-12 12:08:25.013612+02
2|1649769491.467558|2022-04-12 15:18:11.467558+02|7/3B9193B0|17|7|4713848|358|763339|704139|5756|1947305|0|294788545|2022-04-12 12:08:25.013612+02
3|1649769492.489599|2022-04-12 15:18:12.489599+02|7/3C0AC298|17|7|4713848|358|763339|704139|5756|1947305|0|294809160|2022-04-12 12:08:25.013612+02
4|1649769493.509560|2022-04-12 15:18:13.50956+02|7/3C82B690|17|7|4713848|358|763339|704139|5756|1947305|0|294829825|2022-04-12 12:08:25.013612+02
5|1649769494.529785|2022-04-12 15:18:14.529785+02|7/3CF40CB0|17|7|4713848|358|763339|704362|5758|1947305|0|294849834|2022-04-12 12:08:25.013612+02
6|1649769495.550617|2022-04-12 15:18:15.550617+02|7/3D60A9C8|17|7|4713848|358|763339|704862|5763|1947305|0|294869426|2022-04-12 12:08:25.013612+02
7|1649769496.572859|2022-04-12 15:18:16.572859+02|7/3DCF03D8|17|7|4713848|358|763339|705362|5768|1947305|0|294888745|2022-04-12 12:08:25.013612+02
8|1649769497.593552|2022-04-12 15:18:17.593552+02|7/3E38B4B0|17|7|4713848|358|763339|705862|5773|1947305|0|294907302|2022-04-12 12:08:25.013612+02
9|1649769498.618371|2022-04-12 15:18:18.618371+02|7/3EA2F338|17|7|4713848|358|763339|706362|5778|2011018|0|294926355|2022-04-12 12:08:25.013612+02
10|1649769499.641221|2022-04-12 15:18:19.641221+02|7/3EF91920|17|7|4713848|358|763339|706862|5783|2011018|0|294941982|2022-04-12 12:08:25.013612+02
11|1649769500.663268|2022-04-12 15:18:20.663268+02|7/3F527DD0|17|7|4713848|358|763339|707362|5788|2011018|0|294961037|2022-04-12 12:08:25.013612+02
12|1649769501.686358|2022-04-12 15:18:21.686358+02|7/3FB99E10|17|7|4713848|358|763339|707862|5793|2074654|0|294977515|2022-04-12 12:08:25.013612+02
13|1649769502.707220|2022-04-12 15:18:22.70722+02|7/3FF9BC98|17|7|4713848|358|763339|708462|5799|2074654|0|294993324|2022-04-12 12:08:25.013612+02
14|1649769503.728890|2022-04-12 15:18:23.72889+02|7/405FDD80|17|7|4713848|358|763339|708962|5804|2074654|0|295012522|2022-04-12 12:08:25.013612+02
15|1649769504.750243|2022-04-12 15:18:24.750243+02|7/40BF4FC0|17|7|4713848|358|763339|709462|5809|2074654|0|295031030|2022-04-12 12:08:25.013612+02
16|1649769505.771341|2022-04-12 15:18:25.771341+02|7/410830D0|17|7|4713848|358|763339|709962|5814|2138290|0|295046057|2022-04-12 12:08:25.013612+02
17|1649769506.792230|2022-04-12 15:18:26.79223+02|7/41655600|17|7|4713848|358|763339|710462|5819|2138290|0|295063422|2022-04-12 12:08:25.013612+02
18|1649769507.812166|2022-04-12 15:18:27.812166+02|7/41A49E08|17|7|4713848|358|763339|710962|5824|2138290|0|295077424|2022-04-12 12:08:25.013612+02
19|1649769508.832878|2022-04-12 15:18:28.832878+02|7/41EBA120|17|7|4713848|358|763339|711462|5829|2138290|0|295089869|2022-04-12 12:08:25.013612+02
20|1649769509.854411|2022-04-12 15:18:29.854411+02|7/4245A1E0|17|7|4713848|358|763339|711962|5834|2138290|0|295107780|2022-04-12 12:08:25.013612+02
21|1649769510.875947|2022-04-12 15:18:30.875947+02|7/429E6A70|17|7|4713848|358|763339|712462|5839|2201627|0|295125913|2022-04-12 12:08:25.013612+02
22|1649769511.897135|2022-04-12 15:18:31.897135+02|7/42F5FDC8|17|7|4713848|358|763339|712962|5844|2201627|0|295144125|2022-04-12 12:08:25.013612+02
23|1649769512.918511|2022-04-12 15:18:32.918511+02|7/433EA610|17|7|4713848|358|763339|713462|5849|2201627|0|295158813|2022-04-12 12:08:25.013612+02
24|1649769513.941080|2022-04-12 15:18:33.94108+02|7/43732BB0|17|7|4713848|358|763339|713962|5854|2201627|0|295172526|2022-04-12 12:08:25.013612+02
25|1649769514.962637|2022-04-12 15:18:34.962637+02|7/43B29A48|17|7|4713848|358|763339|714462|5859|2264964|0|295183486|2022-04-12 12:08:25.013612+02
26|1649769515.983794|2022-04-12 15:18:35.983794+02|7/43FE71A8|17|7|4713848|358|763339|714962|5864|2264964|0|295199252|2022-04-12 12:08:25.013612+02
27|1649769517.004948|2022-04-12 15:18:37.004948+02|7/4446AEE0|17|7|4713848|358|763339|715562|5870|2264964|0|295217817|2022-04-12 12:08:25.013612+02
28|1649769518.025701|2022-04-12 15:18:38.025701+02|7/448E51C8|17|7|4713848|358|763339|716062|5875|2264964|0|295233241|2022-04-12 12:08:25.013612+02
29|1649769519.046427|2022-04-12 15:18:39.046427+02|7/44D73078|17|7|4713848|358|763339|716562|5880|2328401|0|295248796|2022-04-12 12:08:25.013612+02
30|1649769520.068254|2022-04-12 15:18:40.068254+02|7/45159470|17|7|4713848|358|763339|717062|5885|2328401|0|295262399|2022-04-12 12:08:25.013612+02
31|1649769521.090417|2022-04-12 15:18:41.090417+02|7/454E3968|17|7|4713848|358|763339|717562|5890|2328401|0|295275552|2022-04-12 12:08:25.013612+02
32|1649769522.111300|2022-04-12 15:18:42.1113+02|7/45947260|17|7|4713848|358|763339|718062|5895|2328401|0|295290427|2022-04-12 12:08:25.013612+02
33|1649769523.132013|2022-04-12 15:18:43.132013+02|7/45C85530|17|7|4713848|358|763339|718562|5900|2328401|0|295301742|2022-04-12 12:08:25.013612+02
