run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1648848637.791693|2022-04-01 23:30:37.791693+02|16431|test|1|45|0|3307269|115812|100018860|840|100011094|4|0|0|2|2004525056|0|||0|0|148028.121|147966.343|89.678|8|0|0|0|2022-04-01 23:28:09.540427+02
1|1648848638.800792|2022-04-01 23:30:38.800792+02|16431|test|17|27935|0|3362038|211567|100110441|32931|100011094|4|0|0|2|2004525056|0|||0|0|158213.973|156378.851|89.678|35|0|0|0|2022-04-01 23:28:09.540427+02
2|1648848639.828671|2022-04-01 23:30:39.828671+02|16431|test|17|88662|0|3470660|407014|100171378|93866|100011094|4|0|0|2|2004525056|0|||0|0|180260.172|174711.583|89.678|37|0|0|0|2022-04-01 23:28:09.540427+02
3|1648848640.848546|2022-04-01 23:30:40.848546+02|16431|test|17|135038|0|3551123|558865|100217964|140450|100011094|4|0|0|2|2004525056|0|||0|0|196295.439|187872.359|89.678|39|0|0|0|2022-04-01 23:28:09.540427+02
4|1648848641.868091|2022-04-01 23:30:41.868091+02|16431|test|17|181651|0|3631942|711545|100264787|187271|100011094|4|0|0|2|2004525056|0|||0|0|212323.244|200864.688|89.678|41|0|0|0|2022-04-01 23:28:09.540427+02
5|1648848642.887624|2022-04-01 23:30:42.887624+02|16431|test|17|229916|0|3715591|869655|100313262|235744|100011094|4|0|0|2|2004525056|0|||0|0|228352.868|213662.147|89.678|43|0|0|0|2022-04-01 23:28:09.540427+02
6|1648848643.925273|2022-04-01 23:30:43.925273+02|16431|test|17|277137|0|3797358|1024427|100360693|283173|100011094|4|0|0|2|2004525056|0|||0|0|244384.998|226535.061|89.678|45|0|0|0|2022-04-01 23:28:09.540427+02
7|1648848644.945193|2022-04-01 23:30:44.945193+02|16431|test|17|323650|0|3878065|1176719|100407416|329894|100011094|4|0|0|2|2004525056|0|||0|0|260420.046|239436.814|89.678|47|0|0|0|2022-04-01 23:28:09.540427+02
8|1648848645.964534|2022-04-01 23:30:45.964534+02|16431|test|17|370714|0|3959598|1330940|100454690|377166|100011094|4|0|0|2|2004525056|0|||0|0|276450.97|252252.044|89.678|49|0|0|0|2022-04-01 23:28:09.540427+02
9|1648848646.984211|2022-04-01 23:30:46.984211+02|16431|test|17|416874|0|4039606|1482166|100501060|423534|100011094|4|0|0|2|2004525056|0|||0|0|292480.999|265125.106|89.678|51|0|0|0|2022-04-01 23:28:09.540427+02
10|1648848648.004551|2022-04-01 23:30:48.004551+02|16431|test|17|463195|0|4119909|1633902|100547591|470063|100011094|4|0|0|2|2004525056|0|||0|0|308511.16|277941.031|89.678|53|0|0|0|2022-04-01 23:28:09.540427+02
11|1648848649.029037|2022-04-01 23:30:49.029037+02|16431|test|17|510796|0|4202571|1789679|100595402|517872|100011094|4|0|0|2|2004525056|0|||0|0|324575.074|290536.719|89.678|55|0|0|0|2022-04-01 23:28:09.540427+02
12|1648848650.050456|2022-04-01 23:30:50.050456+02|16431|test|17|558649|0|4285369|1946580|100643465|565933|100011094|4|0|0|2|2004525056|0|||0|0|340605.296|303209.297|89.678|57|0|0|0|2022-04-01 23:28:09.540427+02
13|1648848651.070780|2022-04-01 23:30:51.07078+02|16431|test|17|608206|0|4371165|2109003|100693232|615698|100011094|4|0|0|2|2004525056|0|||0|0|356640.16|315786.969|89.678|59|0|0|0|2022-04-01 23:28:09.540427+02
14|1648848652.091529|2022-04-01 23:30:52.091529+02|16431|test|17|657810|0|4457161|2271461|100743046|665510|100011094|4|0|0|2|2004525056|0|||0|0|372665.024|328275.532|89.678|61|0|0|0|2022-04-01 23:28:09.540427+02
15|1648848653.114167|2022-04-01 23:30:53.114167+02|16431|test|17|708471|0|4544849|2437512|100793917|716379|100011094|4|0|0|2|2004525056|0|||0|0|388694.567|340685.912|89.678|63|0|0|0|2022-04-01 23:28:09.540427+02
