run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1650139412.639966|2022-04-16 22:03:32.639966+02|17256|test|1|51145431|0|118962382|268434421|151471309|51370441|100011166|13|0|0|2|2031765504|0|||0|0|14618170.478|11300580.633|89.634|1804|0|0|0|2022-04-16 21:44:09.182889+02
1|1650139413.660061|2022-04-16 22:03:33.660061+02|17256|test|17|51187051|0|119035663|268656950|151515801|51413891|100011166|13|0|0|2|2031765504|0|||0|0|14630729.279|11309997.355|89.634|1824|0|0|0|2022-04-16 21:44:09.182889+02
2|1650139414.684190|2022-04-16 22:03:34.68419+02|17256|test|17|51253999|0|119153814|269008027|151582998|51481086|100011166|13|0|0|2|2031765504|0|||0|0|14650267.593|11325202.136|89.634|1826|0|0|0|2022-04-16 21:44:09.182889+02
3|1650139415.710374|2022-04-16 22:03:35.710374+02|17256|test|17|51308741|0|119250466|269295161|151637989|51536075|100011166|13|0|0|2|2031765504|0|||0|0|14666299.409|11337585.464|89.634|1828|0|0|0|2022-04-16 21:44:09.182889+02
4|1650139416.734908|2022-04-16 22:03:36.734908+02|17256|test|17|51364213|0|119348182|269586341|151693710|51591794|100011166|13|0|0|2|2031765504|0|||0|0|14682330.73|11350128.987|89.634|1830|0|0|0|2022-04-16 21:44:09.182889+02
5|1650139417.756678|2022-04-16 22:03:37.756678+02|17256|test|17|51420167|0|119446967|269879826|151749913|51647995|100011166|13|0|0|2|2031765504|0|||0|0|14698366.775|11362439.893|89.634|1832|0|0|0|2022-04-16 21:44:09.182889+02
6|1650139418.778402|2022-04-16 22:03:38.778402+02|17256|test|17|51475551|0|119544695|270170914|151806839|51703638|100011166|13|0|0|2|2031765504|0|||0|0|14714397.835|11374924.318|89.634|1834|0|0|0|2022-04-16 21:44:09.182889+02
7|1650139419.803703|2022-04-16 22:03:39.803703+02|17256|test|17|51531540|0|119643363|270464761|151863077|51759874|100011166|13|0|0|2|2031765504|0|||0|0|14730434.319|11387288.566|89.634|1836|0|0|0|2022-04-16 21:44:09.182889+02
8|1650139420.826183|2022-04-16 22:03:40.826183+02|17256|test|17|51588367|0|119743615|270762890|151920153|51816948|100011166|13|0|0|2|2031765504|0|||0|0|14746463.218|11399593.169|89.634|1838|0|0|0|2022-04-16 21:44:09.182889+02
9|1650139421.854578|2022-04-16 22:03:41.854578+02|17256|test|17|51645598|0|119844604|271063110|151977633|51874426|100011166|13|0|0|2|2031765504|0|||0|0|14762496.569|11411927.786|89.634|1840|0|0|0|2022-04-16 21:44:09.182889+02
10|1650139422.878301|2022-04-16 22:03:42.878301+02|17256|test|17|51701501|0|119943197|271356430|152033785|51930576|100011166|13|0|0|2|2031765504|0|||0|0|14778530.845|11424288.818|89.634|1842|0|0|0|2022-04-16 21:44:09.182889+02
11|1650139423.899435|2022-04-16 22:03:43.899435+02|17256|test|17|51757555|0|120042246|271650351|152090088|51986877|100011166|13|0|0|2|2031765504|0|||0|0|14794559.718|11436727.152|89.634|1844|0|0|0|2022-04-16 21:44:09.182889+02
12|1650139424.921441|2022-04-16 22:03:44.921441+02|17256|test|17|51813870|0|120141519|271945875|152146652|52043439|100011166|13|0|0|2|2031765504|0|||0|0|14810598.402|11448970.224|89.634|1846|0|0|0|2022-04-16 21:44:09.182889+02
13|1650139425.942211|2022-04-16 22:03:45.942211+02|17256|test|17|51870524|0|120241761|272242803|152203555|52100340|100011166|13|0|0|2|2031765504|0|||0|0|14826629.809|11461340.384|89.634|1848|0|0|0|2022-04-16 21:44:09.182889+02
14|1650139426.964062|2022-04-16 22:03:46.964062+02|17256|test|17|51927375|0|120342023|272541090|152260655|52157438|100011166|13|0|0|2|2031765504|0|||0|0|14842659.574|11473718.147|89.634|1850|0|0|0|2022-04-16 21:44:09.182889+02
15|1650139427.986404|2022-04-16 22:03:47.986404+02|17256|test|17|51984018|0|120441852|272838354|152317547|52214328|100011166|13|0|0|2|2031765504|0|||0|0|14858686.716|11486136.386|89.634|1852|0|0|0|2022-04-16 21:44:09.182889+02
16|1650139429.007563|2022-04-16 22:03:49.007563+02|17256|test|17|52040529|0|120541554|273134821|152374307|52271086|100011166|13|0|0|2|2031765504|0|||0|0|14874718.277|11498551.3|89.634|1854|0|0|0|2022-04-16 21:44:09.182889+02
17|1650139430.033923|2022-04-16 22:03:50.033923+02|17256|test|17|52096952|0|120641052|273430876|152430979|52327756|100011166|13|0|0|2|2031765504|0|||0|0|14890745.08|11510822.237|89.634|1856|0|0|0|2022-04-16 21:44:09.182889+02
18|1650139431.055437|2022-04-16 22:03:51.055437+02|17256|test|17|52154287|0|120742082|273731783|152488563|52385338|100011166|13|0|0|2|2031765504|0|||0|0|14906773.8|11523190.023|89.634|1858|0|0|0|2022-04-16 21:44:09.182889+02
19|1650139432.077706|2022-04-16 22:03:52.077706+02|17256|test|17|52211170|0|120842364|274030274|152545695|52442468|100011166|13|0|0|2|2031765504|0|||0|0|14922810.622|11535547.253|89.634|1860|0|0|0|2022-04-16 21:44:09.182889+02
