run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1650115535.189121|2022-04-16 15:25:35.189121+02|1C/EB830220|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722083089|2022-04-16 09:50:58.641685+02
1|1650115536.210937|2022-04-16 15:25:36.210937+02|1C/ED0CF158|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722107957|2022-04-16 09:50:58.641685+02
2|1650115537.231420|2022-04-16 15:25:37.23142+02|1C/EEA861B8|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722130457|2022-04-16 09:50:58.641685+02
3|1650115538.253693|2022-04-16 15:25:38.253693+02|1C/F0568F18|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722154011|2022-04-16 09:50:58.641685+02
4|1650115539.275288|2022-04-16 15:25:39.275288+02|1C/F1FC3AF0|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722176875|2022-04-16 09:50:58.641685+02
5|1650115540.297415|2022-04-16 15:25:40.297415+02|1C/F39C71F0|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722199921|2022-04-16 09:50:58.641685+02
6|1650115541.318691|2022-04-16 15:25:41.318691+02|1C/F53E1608|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722223232|2022-04-16 09:50:58.641685+02
7|1650115542.341252|2022-04-16 15:25:42.341252+02|1C/F6E7A890|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722246486|2022-04-16 09:50:58.641685+02
8|1650115543.363192|2022-04-16 15:25:43.363192+02|1C/F88CDE98|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722269854|2022-04-16 09:50:58.641685+02
9|1650115544.383595|2022-04-16 15:25:44.383595+02|1C/FA2EB758|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722293254|2022-04-16 09:50:58.641685+02
10|1650115545.406851|2022-04-16 15:25:45.406851+02|1C/FBC945B8|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722316246|2022-04-16 09:50:58.641685+02
11|1650115546.428580|2022-04-16 15:25:46.42858+02|1C/FD60DA88|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722343511|2022-04-16 09:50:58.641685+02
12|1650115547.451182|2022-04-16 15:25:47.451182+02|1C/FF02C258|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722366964|2022-04-16 09:50:58.641685+02
13|1650115548.471719|2022-04-16 15:25:48.471719+02|1D/9DEBF8|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722390000|2022-04-16 09:50:58.641685+02
14|1650115549.493971|2022-04-16 15:25:49.493971+02|1D/233D0C0|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722413019|2022-04-16 09:50:58.641685+02
15|1650115550.515242|2022-04-16 15:25:50.515242+02|1D/3BF6570|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722435333|2022-04-16 09:50:58.641685+02
16|1650115551.536817|2022-04-16 15:25:51.536817+02|1D/55631B0|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722458233|2022-04-16 09:50:58.641685+02
17|1650115552.558889|2022-04-16 15:25:52.558889+02|1D/6F27BA0|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722481282|2022-04-16 09:50:58.641685+02
18|1650115553.581230|2022-04-16 15:25:53.58123+02|1D/8823B38|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722504480|2022-04-16 09:50:58.641685+02
19|1650115554.602424|2022-04-16 15:25:54.602424+02|1D/A21C568|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722527743|2022-04-16 09:50:58.641685+02
20|1650115555.623286|2022-04-16 15:25:55.623286+02|1D/BB3D378|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722550986|2022-04-16 09:50:58.641685+02
21|1650115556.645625|2022-04-16 15:25:56.645625+02|1D/D460378|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722578650|2022-04-16 09:50:58.641685+02
22|1650115557.667181|2022-04-16 15:25:57.667181+02|1D/EDF1880|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722602420|2022-04-16 09:50:58.641685+02
23|1650115558.688633|2022-04-16 15:25:58.688633+02|1D/10674510|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722624890|2022-04-16 09:50:58.641685+02
24|1650115559.709090|2022-04-16 15:25:59.70909+02|1D/11F12940|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722647762|2022-04-16 09:50:58.641685+02
25|1650115560.730476|2022-04-16 15:26:00.730476+02|1D/13813900|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722670696|2022-04-16 09:50:58.641685+02
26|1650115561.752194|2022-04-16 15:26:01.752194+02|1D/15095228|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722693742|2022-04-16 09:50:58.641685+02
27|1650115562.773846|2022-04-16 15:26:02.773846+02|1D/16999630|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722716893|2022-04-16 09:50:58.641685+02
28|1650115563.796352|2022-04-16 15:26:03.796352+02|1D/18165E40|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722739786|2022-04-16 09:50:58.641685+02
29|1650115564.817962|2022-04-16 15:26:04.817962+02|1D/199B4A00|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722761964|2022-04-16 09:50:58.641685+02
30|1650115565.840621|2022-04-16 15:26:05.840621+02|1D/1B219C50|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722784798|2022-04-16 09:50:58.641685+02
31|1650115566.862925|2022-04-16 15:26:06.862925+02|1D/1CA9CC38|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722812674|2022-04-16 09:50:58.641685+02
32|1650115567.883254|2022-04-16 15:26:07.883254+02|1D/1E387040|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722836190|2022-04-16 09:50:58.641685+02
33|1650115568.903611|2022-04-16 15:26:08.903611+02|1D/1FA7C120|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722858130|2022-04-16 09:50:58.641685+02
34|1650115569.924366|2022-04-16 15:26:09.924366+02|1D/210A0790|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722879275|2022-04-16 09:50:58.641685+02
35|1650115570.947245|2022-04-16 15:26:10.947245+02|1D/228B5C28|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722901944|2022-04-16 09:50:58.641685+02
36|1650115571.968398|2022-04-16 15:26:11.968398+02|1D/240EBBF8|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722925061|2022-04-16 09:50:58.641685+02
37|1650115572.991257|2022-04-16 15:26:12.991257+02|1D/25A02840|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722947689|2022-04-16 09:50:58.641685+02
38|1650115574.012611|2022-04-16 15:26:14.012611+02|1D/271E3548|31|11|9539104|5983|5709230|5488714|54885|198317055|0|722970357|2022-04-16 09:50:58.641685+02
39|1650115575.035890|2022-04-16 15:26:15.03589+02|1D/289EEE00|31|11|9539104|5983|5709230|5488929|54885|198317055|0|722994227|2022-04-16 09:50:58.641685+02
40|1650115576.056888|2022-04-16 15:26:16.056888+02|1D/29C31428|31|11|9539104|5983|5709230|5489429|54890|198317055|0|723013537|2022-04-16 09:50:58.641685+02
41|1650115577.079487|2022-04-16 15:26:17.079487+02|1D/2AFED278|31|11|9539104|5983|5709230|5489929|54895|198317055|0|723032440|2022-04-16 09:50:58.641685+02
42|1650115578.099912|2022-04-16 15:26:18.099912+02|1D/2C238748|31|11|9539104|5983|5709230|5490429|54900|198317055|0|723050559|2022-04-16 09:50:58.641685+02
43|1650115579.121458|2022-04-16 15:26:19.121458+02|1D/2D8474B0|31|11|9539104|5983|5709230|5490929|54905|198317055|0|723072264|2022-04-16 09:50:58.641685+02
44|1650115580.142903|2022-04-16 15:26:20.142903+02|1D/2E9961B8|31|11|9539104|5983|5709230|5491429|54910|198317055|0|723089589|2022-04-16 09:50:58.641685+02
45|1650115581.164017|2022-04-16 15:26:21.164017+02|1D/2FEF0F10|31|11|9539104|5983|5709230|5491929|54915|198317055|0|723110368|2022-04-16 09:50:58.641685+02
46|1650115582.185649|2022-04-16 15:26:22.185649+02|1D/314BDF80|31|11|9539104|5983|5709230|5492429|54920|198317055|0|723132010|2022-04-16 09:50:58.641685+02
47|1650115583.206471|2022-04-16 15:26:23.206471+02|1D/32A0C908|31|11|9539104|5983|5709230|5492929|54925|198317055|0|723153052|2022-04-16 09:50:58.641685+02
48|1650115584.229923|2022-04-16 15:26:24.229923+02|1D/3401B2A8|31|11|9539104|5983|5709230|5493429|54930|198317055|0|723174438|2022-04-16 09:50:58.641685+02
49|1650115585.250961|2022-04-16 15:26:25.250961+02|1D/3550E5C0|31|11|9539104|5983|5709230|5493929|54935|198317055|0|723195524|2022-04-16 09:50:58.641685+02
50|1650115586.271767|2022-04-16 15:26:26.271767+02|1D/36A49938|31|11|9539104|5983|5709230|5494429|54940|198317055|0|723216410|2022-04-16 09:50:58.641685+02
51|1650115587.293293|2022-04-16 15:26:27.293293+02|1D/37F1B608|31|11|9539104|5983|5709230|5494929|54945|198317055|0|723236962|2022-04-16 09:50:58.641685+02
52|1650115588.315117|2022-04-16 15:26:28.315117+02|1D/39240D38|31|11|9539104|5983|5709230|5495429|54950|198317055|0|723255802|2022-04-16 09:50:58.641685+02
53|1650115589.341564|2022-04-16 15:26:29.341564+02|1D/3A618518|31|11|9539104|5983|5709230|5495929|54955|198317055|0|723277023|2022-04-16 09:50:58.641685+02
