run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1650225211.695095|2022-04-17 21:53:31.695095+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
1|1650225212.802374|2022-04-17 21:53:32.802374+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
2|1650225213.896361|2022-04-17 21:53:33.896361+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
3|1650225215.022641|2022-04-17 21:53:35.022641+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
4|1650225216.135306|2022-04-17 21:53:36.135306+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
5|1650225217.262417|2022-04-17 21:53:37.262417+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
6|1650225218.353078|2022-04-17 21:53:38.353078+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
7|1650225219.441362|2022-04-17 21:53:39.441362+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
8|1650225220.542433|2022-04-17 21:53:40.542433+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
9|1650225221.621313|2022-04-17 21:53:41.621313+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
10|1650225222.717999|2022-04-17 21:53:42.717999+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
11|1650225223.815848|2022-04-17 21:53:43.815848+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
12|1650225224.896767|2022-04-17 21:53:44.896767+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
13|1650225225.963622|2022-04-17 21:53:45.963622+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
14|1650225227.058202|2022-04-17 21:53:47.058202+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
15|1650225228.148355|2022-04-17 21:53:48.148355+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
16|1650225229.216111|2022-04-17 21:53:49.216111+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
17|1650225230.299723|2022-04-17 21:53:50.299723+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
18|1650225231.363492|2022-04-17 21:53:51.363492+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
19|1650225232.419556|2022-04-17 21:53:52.419556+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
20|1650225233.485645|2022-04-17 21:53:53.485645+02|0/27467750|1|2|59300|11|599|0|0|39843|0|24117|2022-04-17 21:37:24.496943+02
