run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1650205155.219964|2022-04-17 16:19:15.219964+02|16385|test|1|407935278|0|2348103|2656620168|490055533|484154735|79781998|74781736|0|0|1|100401152|0|||0|0|100946339.303|40493163.981|14459590.222|12147|0|0|0|2022-04-17 14:29:05.606836+02
1|1650205156.239062|2022-04-17 16:19:16.239062+02|16385|test|17|407954513|0|2348426|2656874402|490095803|484194904|79801128|74800866|0|0|1|100401152|0|||0|0|100961395.578|40502285.427|14463721.071|12167|0|0|0|2022-04-17 14:29:05.606836+02
2|1650205157.260622|2022-04-17 16:19:17.260622+02|16385|test|17|407975793|0|2348753|2657152930|490138611|484237692|79822404|74822142|0|0|1|100401152|0|||0|0|100978431.029|40512964.401|14468139.915|12169|0|0|0|2022-04-17 14:29:05.606836+02
3|1650205158.280882|2022-04-17 16:19:18.280882+02|16385|test|17|407996039|0|2348925|2657417762|490179342|484278412|79842646|74842384|0|0|1|100401152|0|||0|0|100994460.816|40523004.251|14472305.632|12171|0|0|0|2022-04-17 14:29:05.606836+02
4|1650205159.301035|2022-04-17 16:19:19.301035+02|16385|test|17|408016453|0|2349207|2657684988|490220403|484319468|79863056|74862794|0|0|1|100401152|0|||0|0|101010488.554|40533132.667|14476389.973|12173|0|0|0|2022-04-17 14:29:05.606836+02
5|1650205160.321488|2022-04-17 16:19:20.321488+02|16385|test|17|408036966|0|2349538|2657953620|490261670|484360722|79883565|74883303|0|0|1|100401152|0|||0|0|101026519.418|40543223.732|14480503.598|12175|0|0|0|2022-04-17 14:29:05.606836+02
6|1650205161.342087|2022-04-17 16:19:21.342087+02|16385|test|17|408057461|0|2349705|2658221732|490302901|484401940|79904056|74903794|0|0|1|100401152|0|||0|0|101042545.364|40553320.998|14484592.603|12177|0|0|0|2022-04-17 14:29:05.606836+02
7|1650205162.362497|2022-04-17 16:19:22.362497+02|16385|test|17|408078079|0|2349987|2658491786|490344375|484443404|79924670|74924408|0|0|1|100401152|0|||0|0|101058575.089|40563391.019|14488719.074|12179|0|0|0|2022-04-17 14:29:05.606836+02
8|1650205163.386949|2022-04-17 16:19:23.386949+02|16385|test|17|408098978|0|2350251|2658765200|490386411|484485430|79945565|74945303|0|0|1|100401152|0|||0|0|101074604.656|40573366.121|14492936.748|12181|0|0|0|2022-04-17 14:29:05.606836+02
9|1650205164.414621|2022-04-17 16:19:24.414621+02|16385|test|17|408119510|0|2350501|2659034012|490427714|484526722|79966093|74965831|0|0|1|100401152|0|||0|0|101090637.216|40583451.528|14497032.683|12183|0|0|0|2022-04-17 14:29:05.606836+02
10|1650205165.435173|2022-04-17 16:19:25.435173+02|16385|test|17|408140365|0|2350776|2659307253|490469664|484568660|79986944|74986682|0|0|1|100401152|0|||0|0|101106669.822|40593463.914|14501197.611|12185|0|0|0|2022-04-17 14:29:05.606836+02
11|1650205166.455116|2022-04-17 16:19:26.455116+02|16385|test|17|408161030|0|2351041|2659577881|490511237|484610218|80007605|75007343|0|0|1|100401152|0|||0|0|101122700.342|40603724.124|14505182.358|12187|0|0|0|2022-04-17 14:29:05.606836+02
