run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1643541119.132396|2022-01-30 12:11:59.132396+01|17016|test|1|384511368|0|671121199|1265749920|1135281138|385026226|750082600|4|0|0|14|15016280064|0|||0|0|87511825.811|74990906.635|663.692|5407|0|0|0|2022-01-30 11:06:14.098254+01
1|1643541120.157310|2022-01-30 12:12:00.15731+01|17016|test|33|384574923|0|671230815|1266979467|1135481877|385156336|750145954|63358|0|0|14|15016280064|0|||0|0|87543928.137|75010782.099|7885.128|5443|0|0|0|2022-01-30 11:06:14.098254+01
2|1643541121.185926|2022-01-30 12:12:01.185926+01|17016|test|33|384639078|0|671341460|1268212908|1135673521|385284832|750210105|127509|0|0|14|15016280064|0|||0|0|87575964.379|75030693.198|15251.903|5445|0|0|0|2022-01-30 11:06:14.098254+01
3|1643541122.214656|2022-01-30 12:12:02.214656+01|17016|test|33|384704930|0|671455131|1269473908|1135869605|385416722|750275953|193357|0|0|14|15016280064|0|||0|0|87607999.966|75050544.539|22629.45|5447|0|0|0|2022-01-30 11:06:14.098254+01
4|1643541123.242748|2022-01-30 12:12:03.242748+01|17016|test|33|384771591|0|671569892|1270745158|1136067412|385550230|750342610|260014|0|0|14|15016280064|0|||0|0|87640034.506|75070350.722|30019.731|5449|0|0|0|2022-01-30 11:06:14.098254+01
5|1643541124.270881|2022-01-30 12:12:04.270881+01|17016|test|33|384830023|0|671670235|1271854928|1136240162|385667280|750401038|318442|0|0|14|15016280064|0|||0|0|87672200.392|75091556.442|36647.684|5451|0|0|0|2022-01-30 11:06:14.098254+01
6|1643541125.297873|2022-01-30 12:12:05.297873+01|17016|test|33|384867173|0|671732936|1272558351|1136349800|385741766|750438184|355588|0|0|14|15016280064|0|||0|0|87704533.842|75117444.372|40453.243|5453|0|0|0|2022-01-30 11:06:14.098254+01
7|1643541126.323682|2022-01-30 12:12:06.323682+01|17016|test|33|384902058|0|671791648|1273218372|1136452571|385811722|750473065|390469|0|0|14|15016280064|0|||0|0|87736629.354|75143541.312|43990.571|5455|0|0|0|2022-01-30 11:06:14.098254+01
8|1643541127.347918|2022-01-30 12:12:07.347918+01|17016|test|33|384937951|0|671852163|1273896597|1136558185|385883694|750508954|426358|0|0|14|15016280064|0|||0|0|87768998.271|75169542.8|47775.008|5457|0|0|0|2022-01-30 11:06:14.098254+01
9|1643541128.372086|2022-01-30 12:12:08.372086+01|17016|test|33|384975821|0|671915730|1274609858|1136669353|385959620|750546820|464224|0|0|14|15016280064|0|||0|0|87801137.443|75194991.907|51732.076|5459|0|0|0|2022-01-30 11:06:14.098254+01
10|1643541129.397914|2022-01-30 12:12:09.397914+01|17016|test|33|385010860|0|671974696|1275268137|1136772092|386029884|750581855|499259|0|0|14|15016280064|0|||0|0|87833349.495|75221042.857|55382.473|5461|0|0|0|2022-01-30 11:06:14.098254+01
