run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1642656901.988418|2022-01-20 06:35:01.988418+01|16385|test|1|39|0|959325|22759|10005906|1474|10001204|4|0|0|1|200802304|0|||0|0|16746.855|16745.98|9.888|8|0|0|0|2022-01-20 06:34:45.115746+01
1|1642656903.000697|2022-01-20 06:35:03.000697+01|16385|test|33|369174|0|1015032|1829101|10439131|376220|10001204|4|0|0|1|200802304|0|||0|0|44373.813|26595.77|9.888|51|0|0|0|2022-01-20 06:34:45.115746+01
2|1642656904.028986|2022-01-20 06:35:04.028986+01|16385|test|33|913368|0|1015453|4550143|10983559|920646|10001204|4|0|0|1|200802304|0|||0|0|80896.687|37153.565|9.888|53|0|0|0|2022-01-20 06:34:45.115746+01
3|1642656905.057009|2022-01-20 06:35:05.057009+01|16385|test|33|1400006|0|1015453|6983826|11470431|1407516|10001204|4|0|0|1|200802304|0|||0|0|112918.61|45947.625|9.888|55|0|0|0|2022-01-20 06:34:45.115746+01
4|1642656906.084175|2022-01-20 06:35:06.084175+01|16385|test|33|1890756|0|1015453|9438069|11961415|1898498|10001204|4|0|0|1|200802304|0|||0|0|144940.254|54561.61|9.888|57|0|0|0|2022-01-20 06:34:45.115746+01
5|1642656907.112185|2022-01-20 06:35:07.112185+01|16385|test|33|2384407|0|1015453|11906817|12455300|2392381|10001204|4|0|0|1|200802304|0|||0|0|176962.287|63113.347|9.888|59|0|0|0|2022-01-20 06:34:45.115746+01
6|1642656908.139787|2022-01-20 06:35:08.139787+01|16385|test|33|2883644|0|1015453|14403495|12954771|2891850|10001204|4|0|0|1|200802304|0|||0|0|208984.217|71710.696|9.888|61|0|0|0|2022-01-20 06:34:45.115746+01
7|1642656909.167496|2022-01-20 06:35:09.167496+01|16385|test|33|3401490|0|1015453|16993218|13472851|3409928|10001204|4|0|0|1|200802304|0|||0|0|241006.11|80724.72|9.888|63|0|0|0|2022-01-20 06:34:45.115746+01
8|1642656910.195585|2022-01-20 06:35:10.195585+01|16385|test|33|3920738|0|1015453|19589951|13992333|3929408|10001204|4|0|0|1|200802304|0|||0|0|273028.087|89747.361|9.888|65|0|0|0|2022-01-20 06:34:45.115746+01
9|1642656911.222810|2022-01-20 06:35:11.22281+01|16385|test|33|4440275|0|1015453|22188129|14512104|4449177|10001204|4|0|0|1|200802304|0|||0|0|305049.728|98781.183|9.888|67|0|0|0|2022-01-20 06:34:45.115746+01
10|1642656912.250339|2022-01-20 06:35:12.250339+01|16385|test|33|4960097|0|1015453|24787732|15032160|4969231|10001204|4|0|0|1|200802304|0|||0|0|337071.358|107820.271|9.888|69|0|0|0|2022-01-20 06:34:45.115746+01
11|1642656913.278402|2022-01-20 06:35:13.278402+01|16385|test|33|5480420|0|1015453|27389840|15552717|5489786|10001204|4|0|0|1|200802304|0|||0|0|369093.167|116860.07|9.888|71|0|0|0|2022-01-20 06:34:45.115746+01
12|1642656914.305423|2022-01-20 06:35:14.305423+01|16385|test|33|6000785|0|1015453|29992158|16073316|6010383|10001204|4|0|0|1|200802304|0|||0|0|401114.924|125891.043|9.888|73|0|0|0|2022-01-20 06:34:45.115746+01
13|1642656915.333497|2022-01-20 06:35:15.333497+01|16385|test|33|6521202|0|1015453|32594736|16593967|6531032|10001204|4|0|0|1|200802304|0|||0|0|433137.221|134932.737|9.888|75|0|0|0|2022-01-20 06:34:45.115746+01
14|1642656916.361588|2022-01-20 06:35:16.361588+01|16385|test|33|7041606|0|1015453|35197249|17114605|7051668|10001204|4|0|0|1|200802304|0|||0|0|465159.268|143972.456|9.888|77|0|0|0|2022-01-20 06:34:45.115746+01
15|1642656917.388582|2022-01-20 06:35:17.388582+01|16385|test|33|7561856|0|1015453|37798992|17635089|7572150|10001204|4|0|0|1|200802304|0|||0|0|497180.662|153014.819|9.888|79|0|0|0|2022-01-20 06:34:45.115746+01
16|1642656918.416821|2022-01-20 06:35:18.416821+01|16385|test|33|8082125|0|1015453|40400830|18155592|8092651|10001204|4|0|0|1|200802304|0|||0|0|529202.85|162050.315|9.888|81|0|0|0|2022-01-20 06:34:45.115746+01
17|1642656919.444811|2022-01-20 06:35:19.444811+01|16385|test|33|8602121|0|1015453|43001303|18675822|8612879|10001204|4|0|0|1|200802304|0|||0|0|561224.721|171086.265|9.888|83|0|0|0|2022-01-20 06:34:45.115746+01
18|1642656920.472883|2022-01-20 06:35:20.472883+01|16385|test|33|9122228|0|1015453|45602331|19196163|9133218|10001204|4|0|0|1|200802304|0|||0|0|593246.559|180118.093|9.888|85|0|0|0|2022-01-20 06:34:45.115746+01
19|1642656921.500888|2022-01-20 06:35:21.500888+01|16385|test|33|9792028|0|1015453|48951824|19866197|9803250|10001204|4|0|0|1|200802304|0|||0|0|634268.837|191754.939|9.888|87|0|0|0|2022-01-20 06:34:45.115746+01
20|1642656922.528224|2022-01-20 06:35:22.528224+01|16385|test|33|10421364|0|1015453|52098997|20495767|10432818|10001204|4|0|0|1|200802304|0|||0|0|673291.02|202717.474|9.888|89|0|0|0|2022-01-20 06:34:45.115746+01
21|1642656923.555767|2022-01-20 06:35:23.555767+01|16385|test|33|10940916|0|1015453|54697250|21015553|10952602|10001204|4|0|0|1|200802304|0|||0|0|705313.546|211766.676|9.888|91|0|0|0|2022-01-20 06:34:45.115746+01
22|1642656924.583994|2022-01-20 06:35:24.583994+01|16385|test|33|11458671|0|1015453|57286518|21533542|11470589|10001204|4|0|0|1|200802304|0|||0|0|737335.906|220795.937|9.888|93|0|0|0|2022-01-20 06:34:45.115746+01
23|1642656925.612309|2022-01-20 06:35:25.612309+01|16385|test|33|11978056|0|1015453|59883936|22053161|11990206|10001204|4|0|0|1|200802304|0|||0|0|769358.153|229838.362|9.888|95|0|0|0|2022-01-20 06:34:45.115746+01
