run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1642665511.859027|2022-01-20 08:58:31.859027+01|21/8534A000|9|6|4656165|260|7222142|1351496|13273|15368532|0|6480720|2022-01-20 06:34:44.876504+01
1|1642665512.883737|2022-01-20 08:58:32.883737+01|21/8534AA00|9|6|4656165|260|7222142|1351496|13273|15368532|0|6895032|2022-01-20 06:34:44.876504+01
2|1642665513.910813|2022-01-20 08:58:33.910813+01|21/8534AA00|9|6|4656165|260|7222142|1351496|13273|15368532|0|7329169|2022-01-20 06:34:44.876504+01
3|1642665514.939562|2022-01-20 08:58:34.939562+01|21/8534AA00|9|6|4656165|260|7222142|1351496|13273|15368532|0|7768895|2022-01-20 06:34:44.876504+01
4|1642665515.967665|2022-01-20 08:58:35.967665+01|21/8534AA00|9|6|4656165|260|7222142|1351496|13273|15368532|0|8077464|2022-01-20 06:34:44.876504+01
5|1642665516.996184|2022-01-20 08:58:36.996184+01|21/8534AA00|9|6|4656165|260|7222142|1351496|13273|15368532|0|8345723|2022-01-20 06:34:44.876504+01
6|1642665518.024814|2022-01-20 08:58:38.024814+01|21/8534AA38|9|6|4656165|260|7222142|1351496|13273|15368532|0|8571028|2022-01-20 06:34:44.876504+01
7|1642665519.053128|2022-01-20 08:58:39.053128+01|21/8534AA38|9|6|4656165|260|7222142|1351496|13273|15368532|0|8788661|2022-01-20 06:34:44.876504+01
8|1642665520.081621|2022-01-20 08:58:40.081621+01|21/8534AA38|9|6|4656165|260|7222142|1351496|13273|15368532|0|9019680|2022-01-20 06:34:44.876504+01
9|1642665521.110070|2022-01-20 08:58:41.11007+01|21/8534AA38|9|6|4656165|260|7222142|1351696|13275|15368532|0|9249149|2022-01-20 06:34:44.876504+01
10|1642665522.138263|2022-01-20 08:58:42.138263+01|21/8534AA38|9|6|4656165|260|7222142|1351696|13275|15368532|0|9478979|2022-01-20 06:34:44.876504+01
11|1642665523.166434|2022-01-20 08:58:43.166434+01|21/8534AA38|9|6|4656165|260|7222142|1351896|13277|15368532|0|9715291|2022-01-20 06:34:44.876504+01
12|1642665524.195124|2022-01-20 08:58:44.195124+01|21/8534AA38|9|6|4656165|260|7222142|1351896|13277|15368532|0|9951841|2022-01-20 06:34:44.876504+01
13|1642665525.223214|2022-01-20 08:58:45.223214+01|21/8534AA38|9|6|4656165|260|7222142|1352096|13279|15368532|0|10189216|2022-01-20 06:34:44.876504+01
14|1642665526.251747|2022-01-20 08:58:46.251747+01|21/8534AA38|9|6|4656165|260|7222142|1352096|13279|15368532|0|10423984|2022-01-20 06:34:44.876504+01
15|1642665527.280050|2022-01-20 08:58:47.28005+01|21/8534AA38|9|6|4656165|260|7222142|1352096|13279|15368532|0|10662247|2022-01-20 06:34:44.876504+01
16|1642665528.308607|2022-01-20 08:58:48.308607+01|21/8534AA38|9|6|4656165|260|7222142|1352296|13281|15368532|0|10902517|2022-01-20 06:34:44.876504+01
17|1642665529.337780|2022-01-20 08:58:49.33778+01|21/8534AA38|9|6|4656165|260|7222142|1352297|13281|15368532|0|11140220|2022-01-20 06:34:44.876504+01
18|1642665530.366232|2022-01-20 08:58:50.366232+01|21/8534AA38|9|6|4656165|260|7222142|1352497|13283|15368532|0|11380511|2022-01-20 06:34:44.876504+01
19|1642665531.394614|2022-01-20 08:58:51.394614+01|21/8534AA38|9|6|4656165|260|7222142|1352497|13283|15368532|0|11620366|2022-01-20 06:34:44.876504+01
20|1642665532.422332|2022-01-20 08:58:52.422332+01|21/8534AA38|9|6|4656165|260|7222142|1352589|13283|15368532|0|11862580|2022-01-20 06:34:44.876504+01
21|1642665533.450557|2022-01-20 08:58:53.450557+01|21/8534AA38|9|6|4656165|260|7222142|1352589|13283|15368532|0|12100933|2022-01-20 06:34:44.876504+01
