run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1650834050.202295|2022-04-24 23:00:50.202295+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1893317794|2022-04-24 17:14:47.082811+02
1|1650834051.231240|2022-04-24 23:00:51.23124+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1893739172|2022-04-24 17:14:47.082811+02
2|1650834052.262529|2022-04-24 23:00:52.262529+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1894203929|2022-04-24 17:14:47.082811+02
3|1650834053.293489|2022-04-24 23:00:53.293489+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1894681320|2022-04-24 17:14:47.082811+02
4|1650834054.323563|2022-04-24 23:00:54.323563+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1895172769|2022-04-24 17:14:47.082811+02
5|1650834055.353659|2022-04-24 23:00:55.353659+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1895686412|2022-04-24 17:14:47.082811+02
6|1650834056.383098|2022-04-24 23:00:56.383098+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1896203974|2022-04-24 17:14:47.082811+02
7|1650834057.412275|2022-04-24 23:00:57.412275+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1896721367|2022-04-24 17:14:47.082811+02
8|1650834058.443032|2022-04-24 23:00:58.443032+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1897250789|2022-04-24 17:14:47.082811+02
9|1650834059.473740|2022-04-24 23:00:59.47374+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1897771788|2022-04-24 17:14:47.082811+02
10|1650834060.503865|2022-04-24 23:01:00.503865+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1898292585|2022-04-24 17:14:47.082811+02
11|1650834061.533382|2022-04-24 23:01:01.533382+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1898818624|2022-04-24 17:14:47.082811+02
12|1650834062.563970|2022-04-24 23:01:02.56397+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1899245363|2022-04-24 17:14:47.082811+02
13|1650834063.594155|2022-04-24 23:01:03.594155+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1899769266|2022-04-24 17:14:47.082811+02
14|1650834064.624565|2022-04-24 23:01:04.624565+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1900293964|2022-04-24 17:14:47.082811+02
15|1650834065.655082|2022-04-24 23:01:05.655082+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1900827459|2022-04-24 17:14:47.082811+02
16|1650834066.685289|2022-04-24 23:01:06.685289+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1901356811|2022-04-24 17:14:47.082811+02
17|1650834067.715558|2022-04-24 23:01:07.715558+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1901882035|2022-04-24 17:14:47.082811+02
18|1650834068.746849|2022-04-24 23:01:08.746849+02|77/AE4D070|21|11|10896239|4103|20343648|4467876|44614|445401009|0|1902410131|2022-04-24 17:14:47.082811+02
