run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1652354374.219226|2022-05-12 13:19:34.219226+02|17028|test|3|1336130666|0|767626825|8660399076|1589215179|1474760749|237578082|137566470|470|0|2|2015913984|0|||0|0|144237961.747|59518972.067|15812883.694|8952|0|0|0|2022-05-12 11:57:53.545005+02
1|1652354375.245128|2022-05-12 13:19:35.245128+02|17028|test|35|1336193068|0|767668323|8661346281|1589350067|1474888867|237640283|137628671|470|0|2|2015913984|0|||0|0|144270067.516|59538943.676|15820209.322|8988|0|0|0|2022-05-12 11:57:53.545005+02
2|1652354376.272336|2022-05-12 13:19:36.272336+02|17028|test|35|1336258230|0|767711287|8662330769|1589486755|1475019423|237705441|137693829|470|0|2|2015913984|0|||0|0|144302103.026|59558890.931|15827693.911|8990|0|0|0|2022-05-12 11:57:53.545005+02
3|1652354377.299382|2022-05-12 13:19:37.299382+02|17028|test|35|1336324901|0|767755676|8663339056|1589626484|1475152997|237772108|137760496|470|0|2|2015913984|0|||0|0|144334137.102|59578597.184|15835330.775|8992|0|0|0|2022-05-12 11:57:53.545005+02
4|1652354378.326353|2022-05-12 13:19:38.326353+02|17028|test|35|1336391664|0|767799949|8664346405|1589766291|1475286755|237838867|137827255|470|0|2|2015913984|0|||0|0|144366173.454|59598357.566|15842936.957|8994|0|0|0|2022-05-12 11:57:53.545005+02
5|1652354379.353176|2022-05-12 13:19:39.353176+02|17028|test|35|1336459374|0|767844592|8665370959|1589908419|1475422407|237906573|137894961|470|0|2|2015913984|0|||0|0|144398208.953|59617875.168|15850698.487|8996|0|0|0|2022-05-12 11:57:53.545005+02
6|1652354380.380656|2022-05-12 13:19:40.380656+02|17028|test|35|1336526039|0|767888798|8666378425|1590048033|1475555969|237973234|137961622|470|0|2|2015913984|0|||0|0|144430244.488|59637653.543|15858282.894|8998|0|0|0|2022-05-12 11:57:53.545005+02
7|1652354381.407906|2022-05-12 13:19:41.407906+02|17028|test|35|1336593582|0|767933528|8667399774|1590189538|1475691287|238040773|138029161|470|0|2|2015913984|0|||0|0|144462281.319|59657284.786|15865960.74|9000|0|0|0|2022-05-12 11:57:53.545005+02
8|1652354382.435676|2022-05-12 13:19:42.435676+02|17028|test|35|1336662085|0|767978982|8668434392|1590332952|1475828525|238109272|138097660|470|0|2|2015913984|0|||0|0|144494318.515|59676718.328|15873765.444|9002|0|0|0|2022-05-12 11:57:53.545005+02
9|1652354383.463903|2022-05-12 13:19:43.463903+02|17028|test|35|1336730221|0|768024080|8669463910|1590475784|1475965029|238177404|138165792|470|0|2|2015913984|0|||0|0|144526354.456|59696300.513|15881462.372|9004|0|0|0|2022-05-12 11:57:53.545005+02
