run|epoch|ts|lsn|checkpoints_timed|checkpoints_req|checkpoint_write_time|checkpoint_sync_time|buffers_checkpoint|buffers_clean|maxwritten_clean|buffers_backend|buffers_backend_fsync|buffers_alloc|stats_reset
1|1650718656.442330|2022-04-23 14:57:36.44233+02|38/8F5D8CD0|14|7|5852878|1010|16531562|2604008|26003|136698952|0|758663769|2022-04-23 11:14:07.285737+02
1|1650718657.469307|2022-04-23 14:57:37.469307+02|38/99299808|14|7|5852878|1010|16536446|2604508|26008|136718075|0|758702843|2022-04-23 11:14:07.285737+02
2|1650718658.498763|2022-04-23 14:57:38.498763+02|38/A32BAEA8|14|7|5852878|1010|16541265|2605008|26013|136767683|0|758748144|2022-04-23 11:14:07.285737+02
3|1650718659.525692|2022-04-23 14:57:39.525692+02|38/AD3CD720|14|7|5852878|1010|16546003|2605508|26018|136818436|0|758794560|2022-04-23 11:14:07.285737+02
4|1650718660.552995|2022-04-23 14:57:40.552995+02|38/B74862C8|14|7|5852878|1010|16550677|2606008|26023|136869055|0|758841148|2022-04-23 11:14:07.285737+02
5|1650718661.580835|2022-04-23 14:57:41.580835+02|38/C09E6258|14|7|5852878|1010|16555237|2606608|26029|136917451|0|758894020|2022-04-23 11:14:07.285737+02
6|1650718662.608590|2022-04-23 14:57:42.60859+02|38/CA8A5F18|14|7|5852878|1010|16559697|2607108|26034|136967584|0|758941044|2022-04-23 11:14:07.285737+02
7|1650718663.636146|2022-04-23 14:57:43.636146+02|38/D4556798|14|7|5852878|1010|16564078|2607608|26039|137018244|0|758987988|2022-04-23 11:14:07.285737+02
8|1650718664.663779|2022-04-23 14:57:44.663779+02|38/DE1C2778|14|7|5852878|1010|16567927|2608108|26044|137063962|0|759035235|2022-04-23 11:14:07.285737+02
9|1650718665.691477|2022-04-23 14:57:45.691477+02|38/E7D39368|14|7|5852878|1010|16572124|2608608|26049|137114883|0|759082604|2022-04-23 11:14:07.285737+02
10|1650718666.718918|2022-04-23 14:57:46.718918+02|38/F14A9098|14|7|5852878|1010|16576255|2609108|26054|137164854|0|759129220|2022-04-23 11:14:07.285737+02
11|1650718667.746765|2022-04-23 14:57:47.746765+02|38/F8BB1A20|14|7|5852878|1010|16580270|2609608|26059|137204635|0|759164776|2022-04-23 11:14:07.285737+02
12|1650718668.775861|2022-04-23 14:57:48.775861+02|39/23D1700|14|7|5852878|1010|16584224|2610108|26064|137256005|0|759212627|2022-04-23 11:14:07.285737+02
13|1650718669.803425|2022-04-23 14:57:49.803425+02|39/B9B4858|14|7|5852878|1010|16588091|2610608|26069|137306564|0|759259945|2022-04-23 11:14:07.285737+02
14|1650718670.830763|2022-04-23 14:57:50.830763+02|39/14E1AD80|14|7|5852878|1010|16591897|2611108|26074|137356803|0|759307410|2022-04-23 11:14:07.285737+02
