run|epoch|ts|datid|datname|numbackends|xact_commit|xact_rollback|blks_read|blks_hit|tup_returned|tup_fetched|tup_inserted|tup_updated|tup_deleted|conflicts|temp_files|temp_bytes|deadlocks|checksum_failures|checksum_last_failure|blk_read_time|blk_write_time|session_time|active_time|idle_in_transaction_time|sessions|sessions_abandoned|sessions_fatal|sessions_killed|stats_reset
1|1651977218.818396|2022-05-08 04:33:38.818396+02|16498|test|1|707938882|0|368625593|2464987789|808401752|708280812|100011094|4|0|0|2|2002190336|0|||0|0|57766882.627|21343907.123|98.048|3593|0|0|0|2022-05-08 03:59:31.433433+02
1|1651977219.844349|2022-05-08 04:33:39.844349+02|16498|test|33|708253057|0|368788865|2466085414|808719358|708597344|100011094|4|0|0|2|2002190336|0|||0|0|57798978.7|21358518.063|98.048|3629|0|0|0|2022-05-08 03:59:31.433433+02
2|1651977220.874555|2022-05-08 04:33:40.874555+02|16498|test|33|708580006|0|368958335|2467224096|809046499|708924483|100011094|4|0|0|2|2002190336|0|||0|0|57831003.045|21372501.447|98.048|3631|0|0|0|2022-05-08 03:59:31.433433+02
3|1651977221.904053|2022-05-08 04:33:41.904053+02|16498|test|33|708915081|0|369132159|2468390928|809381766|709259748|100011094|4|0|0|2|2002190336|0|||0|0|57863026.605|21386191.046|98.048|3633|0|0|0|2022-05-08 03:59:31.433433+02
4|1651977222.933226|2022-05-08 04:33:42.933226+02|16498|test|33|709258938|0|369310462|2469588409|809725815|709603795|100011094|4|0|0|2|2002190336|0|||0|0|57895050.227|21399716.557|98.048|3635|0|0|0|2022-05-08 03:59:31.433433+02
5|1651977223.963882|2022-05-08 04:33:43.963882+02|16498|test|33|709609388|0|369491987|2470809076|810077726|709954447|100011094|4|0|0|2|2002190336|0|||0|0|57927075.021|21413103.525|98.048|3637|0|0|0|2022-05-08 03:59:31.433433+02
6|1651977224.995537|2022-05-08 04:33:44.995537+02|16498|test|33|709964982|0|369676225|2472047570|810433512|710310231|100011094|4|0|0|2|2002190336|0|||0|0|57959100.557|21426337.295|98.048|3639|0|0|0|2022-05-08 03:59:31.433433+02
7|1651977226.026527|2022-05-08 04:33:46.026527+02|16498|test|33|710322351|0|369862022|2473291605|810791073|710667790|100011094|4|0|0|2|2002190336|0|||0|0|57991125.902|21439287.563|98.048|3641|0|0|0|2022-05-08 03:59:31.433433+02
8|1651977227.057732|2022-05-08 04:33:47.057732+02|16498|test|33|710683858|0|370049706|2474550305|811152772|711029487|100011094|4|0|0|2|2002190336|0|||0|0|58023150.876|21452177.8|98.048|3643|0|0|0|2022-05-08 03:59:31.433433+02
9|1651977228.088261|2022-05-08 04:33:48.088261+02|16498|test|33|711049399|0|370239190|2475823341|811518505|711395218|100011094|4|0|0|2|2002190336|0|||0|0|58055175.834|21464979.057|98.048|3645|0|0|0|2022-05-08 03:59:31.433433+02
